GEO_ID,NAME,S1701_C01_001E,S1701_C01_003E,S1701_C01_010E
1400000US36005000100,"Census Tract 1, Bronx County, New York",0,0,0
1400000US36005000200,"Census Tract 2, Bronx County, New York",4167,175,772
1400000US36005000400,"Census Tract 4, Bronx County, New York",5670,99,801
1400000US36005001600,"Census Tract 16, Bronx County, New York",5697,342,1011
1400000US36005001901,"Census Tract 19.01, Bronx County, New York",1907,177,16
1400000US36005001902,"Census Tract 19.02, Bronx County, New York",1182,57,81
1400000US36005001903,"Census Tract 19.03, Bronx County, New York",0,0,0
1400000US36005001904,"Census Tract 19.04, Bronx County, New York",0,0,0
1400000US36005002001,"Census Tract 20.01, Bronx County, New York",4837,529,519
1400000US36005002002,"Census Tract 20.02, Bronx County, New York",4697,346,665
1400000US36005002300,"Census Tract 23, Bronx County, New York",4516,189,563
1400000US36005002400,"Census Tract 24, Bronx County, New York",0,0,0
1400000US36005002500,"Census Tract 25, Bronx County, New York",5677,466,399
1400000US36005002701,"Census Tract 27.01, Bronx County, New York",2672,292,366
1400000US36005002702,"Census Tract 27.02, Bronx County, New York",4378,441,263
1400000US36005002800,"Census Tract 28, Bronx County, New York",4998,420,903
1400000US36005003100,"Census Tract 31, Bronx County, New York",1858,130,115
1400000US36005003300,"Census Tract 33, Bronx County, New York",3107,91,177
1400000US36005003500,"Census Tract 35, Bronx County, New York",3738,237,282
1400000US36005003700,"Census Tract 37, Bronx County, New York",222,0,9
1400000US36005003800,"Census Tract 38, Bronx County, New York",1133,32,218
1400000US36005003900,"Census Tract 39, Bronx County, New York",6576,468,748
1400000US36005004001,"Census Tract 40.01, Bronx County, New York",1425,50,272
1400000US36005004100,"Census Tract 41, Bronx County, New York",5817,638,616
1400000US36005004200,"Census Tract 42, Bronx County, New York",7755,727,979
1400000US36005004300,"Census Tract 43, Bronx County, New York",5410,359,526
1400000US36005004400,"Census Tract 44, Bronx County, New York",4210,425,464
1400000US36005004600,"Census Tract 46, Bronx County, New York",1823,126,233
1400000US36005004800,"Census Tract 48, Bronx County, New York",4728,500,316
1400000US36005005001,"Census Tract 50.01, Bronx County, New York",4330,266,547
1400000US36005005002,"Census Tract 50.02, Bronx County, New York",6248,647,484
1400000US36005005100,"Census Tract 51, Bronx County, New York",5844,350,684
1400000US36005005200,"Census Tract 52, Bronx County, New York",1879,161,257
1400000US36005005300,"Census Tract 53, Bronx County, New York",5116,629,281
1400000US36005005400,"Census Tract 54, Bronx County, New York",5354,642,615
1400000US36005005600,"Census Tract 56, Bronx County, New York",2113,104,542
1400000US36005005902,"Census Tract 59.02, Bronx County, New York",2635,126,472
1400000US36005006000,"Census Tract 60, Bronx County, New York",1266,64,191
1400000US36005006100,"Census Tract 61, Bronx County, New York",3985,170,939
1400000US36005006200,"Census Tract 62, Bronx County, New York",6995,215,850
1400000US36005006301,"Census Tract 63.01, Bronx County, New York",4730,423,342
1400000US36005006302,"Census Tract 63.02, Bronx County, New York",0,0,0
1400000US36005006400,"Census Tract 64, Bronx County, New York",3786,188,635
1400000US36005006500,"Census Tract 65, Bronx County, New York",5356,742,276
1400000US36005006700,"Census Tract 67, Bronx County, New York",6682,405,621
1400000US36005006800,"Census Tract 68, Bronx County, New York",3147,212,586
1400000US36005006900,"Census Tract 69, Bronx County, New York",7357,569,934
1400000US36005007000,"Census Tract 70, Bronx County, New York",4451,361,524
1400000US36005007100,"Census Tract 71, Bronx County, New York",2808,309,218
1400000US36005007200,"Census Tract 72, Bronx County, New York",6431,553,843
1400000US36005007300,"Census Tract 73, Bronx County, New York",4185,324,269
1400000US36005007400,"Census Tract 74, Bronx County, New York",3494,152,613
1400000US36005007500,"Census Tract 75, Bronx County, New York",6345,446,674
1400000US36005007600,"Census Tract 76, Bronx County, New York",5103,456,658
1400000US36005007700,"Census Tract 77, Bronx County, New York",2026,155,172
1400000US36005007800,"Census Tract 78, Bronx County, New York",7119,450,614
1400000US36005007900,"Census Tract 79, Bronx County, New York",6783,581,450
1400000US36005008300,"Census Tract 83, Bronx County, New York",5937,378,558
1400000US36005008400,"Census Tract 84, Bronx County, New York",2990,206,493
1400000US36005008500,"Census Tract 85, Bronx County, New York",5185,314,470
1400000US36005008600,"Census Tract 86, Bronx County, New York",3673,195,568
1400000US36005008700,"Census Tract 87, Bronx County, New York",6075,373,436
1400000US36005008900,"Census Tract 89, Bronx County, New York",2886,137,564
1400000US36005009000,"Census Tract 90, Bronx County, New York",3539,328,459
1400000US36005009200,"Census Tract 92, Bronx County, New York",5975,533,516
1400000US36005009301,"Census Tract 93.01, Bronx County, New York",5199,509,361
1400000US36005009302,"Census Tract 93.02, Bronx County, New York",0,0,0
1400000US36005009600,"Census Tract 96, Bronx County, New York",2549,140,366
1400000US36005009800,"Census Tract 98, Bronx County, New York",4882,117,1276
1400000US36005011000,"Census Tract 110, Bronx County, New York",0,0,0
1400000US36005011502,"Census Tract 115.02, Bronx County, New York",4173,325,367
1400000US36005011701,"Census Tract 117.01, Bronx County, New York",1360,131,211
1400000US36005011702,"Census Tract 117.02, Bronx County, New York",0,0,0
1400000US36005011800,"Census Tract 118, Bronx County, New York",4243,302,657
1400000US36005011900,"Census Tract 119, Bronx County, New York",5379,284,513
1400000US36005012101,"Census Tract 121.01, Bronx County, New York",3018,245,225
1400000US36005012102,"Census Tract 121.02, Bronx County, New York",1338,62,146
1400000US36005012300,"Census Tract 123, Bronx County, New York",4338,371,492
1400000US36005012500,"Census Tract 125, Bronx County, New York",3857,258,303
1400000US36005012701,"Census Tract 127.01, Bronx County, New York",2037,181,208
1400000US36005012901,"Census Tract 129.01, Bronx County, New York",4605,291,479
1400000US36005013000,"Census Tract 130, Bronx County, New York",1462,122,161
1400000US36005013100,"Census Tract 131, Bronx County, New York",5215,296,464
1400000US36005013200,"Census Tract 132, Bronx County, New York",7366,485,985
1400000US36005013300,"Census Tract 133, Bronx County, New York",5759,189,595
1400000US36005013500,"Census Tract 135, Bronx County, New York",3633,397,379
1400000US36005013800,"Census Tract 138, Bronx County, New York",2853,200,537
1400000US36005014100,"Census Tract 141, Bronx County, New York",5731,326,519
1400000US36005014300,"Census Tract 143, Bronx County, New York",1627,98,114
1400000US36005014400,"Census Tract 144, Bronx County, New York",5422,379,1079
1400000US36005014500,"Census Tract 145, Bronx County, New York",6855,553,495
1400000US36005014701,"Census Tract 147.01, Bronx County, New York",6052,351,411
1400000US36005014702,"Census Tract 147.02, Bronx County, New York",5274,331,678
1400000US36005014900,"Census Tract 149, Bronx County, New York",4397,358,384
1400000US36005015100,"Census Tract 151, Bronx County, New York",5121,419,504
1400000US36005015200,"Census Tract 152, Bronx County, New York",2565,137,375
1400000US36005015300,"Census Tract 153, Bronx County, New York",4261,334,358
1400000US36005015500,"Census Tract 155, Bronx County, New York",2934,342,187
1400000US36005015700,"Census Tract 157, Bronx County, New York",4848,294,749
1400000US36005015800,"Census Tract 158, Bronx County, New York",1304,114,186
1400000US36005015900,"Census Tract 159, Bronx County, New York",2100,35,382
1400000US36005016000,"Census Tract 160, Bronx County, New York",3769,46,705
1400000US36005016100,"Census Tract 161, Bronx County, New York",4633,371,739
1400000US36005016200,"Census Tract 162, Bronx County, New York",1648,159,177
1400000US36005016300,"Census Tract 163, Bronx County, New York",0,0,0
